idx,Price
1490,457.5
3084,311.4
2174,365.6
729,727.6
3867,152.1
3948,156.1
4118,169.1
1936,408.8
1745,422.8
2481,349.6
3274,239.5
3648,183.4
1110,523.6
3333,237.9
4209,146.1
4470,115.2
4510,125.1
346,1105.8
1185,464.8
4001,166.5
1515,458.9
4668,132.7
578,893.9
75,1301.2
1429,479.6
3586,191.6
4429,113.2
3921,157.3
4951,113.7
1846,407.2
131,1290.0
178,1243.3
2895,259.2
4650,129.7
3043,314.9
2518,355.4
1842,408.3
2095,380.1
2534,346.5
2369,354.0
604,820.3
2623,316.2
25,1381.8
658,802.8
2036,384.6
3313,249.7
2181,365.5
173,1234.0
1611,439.6
437,966.6
331,1118.4
3096,302.9
1454,470.9
342,1110.5
3194,275.1
3027,314.2
1088,527.9
479,940.8
727,731.9
3778,168.1
976,597.3
2591,319.7
4346,111.2
1928,417.1
1468,466.8
1224,449.9
4283,139.1
1952,417.6
4829,126.0
3665,181.3
1892,401.6
1299,457.9
2986,228.8
4901,104.8
660,816.3
3964,164.8
2925,267.3
2780,272.6
3989,162.3
3822,163.8
2187,348.3
3047,317.1
267,1006.2
2699,289.1
4317,120.3
2201,313.7
3591,195.7
3930,156.8
3718,170.8
3187,285.5
1278,473.1
4639,133.8
3066,334.6
2746,263.8
1621,440.2
4102,168.1
4149,162.3
1896,403.0
3919,159.5
3010,255.8
2827,264.7
67,1315.3
2576,335.9
2123,377.3
221,1117.7
333,1113.9
1978,381.4
4929,102.2
3785,161.7
820,675.9
1226,458.3
3897,161.7
2144,378.7
4277,133.7
4456,114.1
4476,117.2
4299,121.6
1143,495.7
397,1035.0
2902,266.2
4349,111.5
2755,279.2
1398,470.9
1659,454.7
979,592.3
1298,460.3
2596,322.3
82,1327.8
3091,307.5
4900,106.3
3734,166.4
3817,167.1
2462,358.8
423,969.0
4338,106.1
1904,409.1
4537,120.3
4556,115.7
3098,307.9
1565,447.2
3351,249.6
839,672.6
500,972.7
141,1297.7
1377,442.5
3693,181.2
4615,131.2
1138,503.1
3841,149.6
1787,418.0
2750,273.7
550,938.8
3095,305.6
2019,384.5
948,614.1
3781,165.8
532,939.4
1829,413.8
4624,133.3
4417,116.0
3866,150.4
1602,452.4
639,785.8
4831,123.8
967,605.4
4236,141.2
4882,113.7
1683,442.5
4469,115.7
2892,256.4
155,1239.2
2483,350.6
2834,270.3
1089,532.4
2651,296.2
4239,139.7
288,1083.1
930,620.0
2531,344.2
2259,314.8
4109,166.6
2364,359.3
4305,124.9
942,618.5
4660,135.5
4661,135.1
1698,430.9
4707,128.5
2952,249.6
2610,325.5
2807,257.0
985,590.6
